Item number,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
17,gjetost cheese,1058,67.0,43.5,17.9,2.1,96.8,0.0,21.9,0.0,213.4,1.4,30.5,0.8,0.7,0.076,0.047,3.1,1.8,7.6,0.6,0.0,0.0,0.0,0.0,908.0,0.2,1.2,158.9,0.035,1007.9,3198.4,0.039,2.6,1095.7
47,cheese spread,708,68.6,43.2,19.4,2.5,8.4,8.4,17.0,0.0,216.0,1.2,140.4,0.7,0.071,0.027,0.011,0.5,2.3,0.0,0.051,0.0,0.091,1.8,0.098,170.4,0.02,2.7,14.4,0.0,218.4,268.8,0.065,1.2,267.8
34,pimento cheese,525,43.7,27.5,12.5,1.4,2.4,0.9,31.0,0.1,131.6,2.0,54.7,0.3,0.023,0.043,0.016,0.5,0.1,0.7,0.011,3.2,0.099,0.4,0.086,859.6,0.032,0.6,30.8,0.031,1041.6,226.8,0.089,4.2,940.9
29,chihuahua cheese,494,39.2,24.9,11.1,1.2,7.3,7.3,28.5,0.0,138.6,0.8,51.7,0.007,0.053,0.031,0.082,0.3,0.2,0.4,0.061,0.0,0.089,0.3,0.011,859.3,0.03,0.6,30.4,0.047,583.4,68.6,0.071,4.6,934.983
39,anejo cheese,492,39.6,25.1,11.3,1.2,6.1,6.1,28.3,0.0,138.6,1.5,50.2,0.098,0.069,0.081,0.077,0.3,0.088,0.3,0.011,0.0,0.032,0.3,0.078,897.6,0.058,0.6,37.0,0.067,586.1,114.8,0.095,3.9,972.205
31,muenster cheese,486,39.7,25.2,11.5,0.9,1.5,1.5,30.9,0.0,126.7,0.8,55.1,0.4,0.016,0.009,0.085,0.4,0.1,0.3,0.072,0.0,0.065,0.3,0.056,946.4,0.008,0.5,35.6,0.093,617.8,176.9,0.059,3.7,1019.4
38,provolone cheese,463,35.1,22.5,9.8,1.0,2.8,0.7,33.8,0.0,91.1,1.2,54.1,0.3,0.013,0.017,0.005,0.4,0.2,0.6,0.052,0.0,0.028,0.3,0.001,997.9,0.011,0.7,37.0,0.033,654.7,182.2,0.017,4.3,1070.6
21,asadero cheese,402,31.9,20.3,9.1,1.0,3.2,3.2,25.5,0.0,118.7,0.7,47.6,0.098,0.034,0.005,0.043,0.3,0.2,0.3,0.024,0.0,0.071,0.3,0.02,746.9,0.067,0.6,29.4,0.024,500.6,97.2,0.096,3.4,808.175
170,cheese tortellini,332,7.8,3.9,2.2,0.5,50.8,1.0,14.6,2.1,45.4,0.4,32.9,0.079,0.3,0.051,0.038,0.3,2.9,0.0,0.015,0.0,0.0,0.2,0.087,164.2,0.053,1.6,22.7,0.0,229.0,96.1,0.064,1.1,241.181
128,cheese croissant,331,16.7,8.5,5.2,1.9,37.6,9.1,7.4,2.1,45.6,0.3,16.8,0.2,0.4,0.025,0.068,0.3,1.7,0.7,0.064,0.2,0.0,1.2,0.022,42.4,0.018,1.7,19.2,0.3,104.0,105.6,0.027,0.8,108.3
