Item number,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
139,coconut meat,1405,133.0,117.9,5.7,1.5,60.5,24.7,13.2,35.7,0.0,0.022,186.6,0.0,0.3,0.1,0.0,0.054,2.1,1.2,0.2,13.1,0.0,1.0,0.019,55.6,1.7,9.6,127.0,6.0,448.6,1413.3,0.056,4.4,320.7
80,chokecherries,249,2.6,0.0,0.0,0.0,51.8,14.4,4.7,30.8,0.0,0.078,93.5,0.0,0.005,0.027,0.0,0.3,1.0,0.6,0.3,8.5,0.0,0.5,0.089,92.4,0.3,1.1,41.6,0.6,103.2,583.7,0.0,0.5,191.9
32,rose hips,206,0.4,0.0,0.0,0.0,48.5,3.3,2.0,30.6,0.0,0.035,74.5,0.0,0.048,0.085,0.0,0.2,1.7,1.0,0.078,541.0,0.0,7.4,0.05,214.6,0.1,1.3,87.6,1.3,77.5,544.8,0.0,0.3,838.4
443,oriental radish dried,314,0.8,0.3,0.1,0.4,73.5,43.3,9.2,27.7,0.0,0.3,22.8,0.0,0.3,0.3,0.0,0.8,3.9,2.2,0.7,0.0,0.0,0.008,0.031,729.6,1.9,7.8,197.2,0.6,236.6,4053.0,0.091,2.5,848.6
261,rye,571,2.8,0.3,0.4,1.3,128.2,1.7,17.5,25.5,0.0,0.078,17.9,0.0,0.5,0.036,0.0,0.4,7.2,2.5,0.5,0.0,0.0,1.4,0.092,40.6,0.6,4.4,185.9,4.4,561.1,861.9,0.032,4.5,219.0
127,mammy apple mamey,431,4.2,1.2,1.7,0.7,105.8,0.0,4.2,25.4,0.0,0.1,729.3,0.0,0.2,0.1,0.0,0.3,3.4,0.9,0.8,118.4,0.0,0.0,0.0,93.1,0.7,5.9,135.4,0.0,93.1,397.6,0.064,0.8,357.0
224,rice bran,373,24.6,4.9,8.9,8.8,58.6,1.1,15.8,24.8,0.0,0.036,7.2,0.0,3.2,0.028,0.0,0.3,40.1,8.7,4.8,0.0,0.0,5.8,0.051,67.3,0.9,21.9,921.6,16.8,1978.9,1752.3,0.018,7.1,213.0
237,wheat bran,125,2.5,0.4,0.4,1.3,37.4,0.2,9.0,24.8,0.0,0.015,5.7,0.0,0.3,0.005,0.0,0.3,7.9,1.3,0.8,0.0,0.0,0.9,0.01,42.3,0.6,6.1,354.4,6.7,587.5,685.6,0.066,4.2,122.1
194,breadnut tree seeds dried,587,2.7,0.7,0.3,1.4,127.0,0.0,13.8,23.8,0.0,0.091,10.4,0.0,0.04,0.2,0.0,0.2,3.4,3.0,1.1,74.6,0.0,0.0,0.0,150.4,3.9,7.4,184.0,0.5,284.8,3217.6,0.011,3.1,399.7
260,white wheat,657,3.3,0.5,0.4,1.4,145.7,0.8,21.7,23.4,0.0,0.094,18.4,0.0,0.7,0.058,0.0,0.2,8.4,1.8,0.7,0.0,0.0,1.9,0.089,61.4,0.7,8.8,178.6,7.3,681.6,829.4,0.0,6.4,264.3
