Item number,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Vitamin A + C
102,acerola cherry juice,56,0.7,0.2,0.2,0.2,11.6,10.9,1.0,0.7,0.0,0.082,228.2,0.0,0.067,0.084,0.0,0.1,1.0,0.5,0.051,3872.0,0.0,0.4,0.057,24.2,0.2,1.2,29.0,0.0,21.8,234.7,0.061,0.2,3911.4,3872.0
60,pokeberry shoots cooked,33,0.7,0.0,0.0,0.0,5.1,2.6,3.8,2.5,0.0,0.4,153.3,0.0,0.1,0.005,0.0,0.4,1.8,0.074,0.2,135.3,0.0,1.4,0.2,87.5,0.2,2.0,23.1,0.6,54.5,303.6,0.02,0.3,236.9,135.3
1,kiwifruit gold,51,0.2,0.008,0.099,0.051,12.8,10.0,0.8,1.1,0.0,0.046,66.8,0.091,0.0,0.051,0.058,0.07,0.2,0.4,0.067,130.7,0.0,1.1,0.074,13.8,0.1,0.2,9.7,0.072,20.3,255.2,0.003,0.077,159.686,130.791
127,mammy apple mamey,431,4.2,1.2,1.7,0.7,105.8,0.0,4.2,25.4,0.0,0.1,729.3,0.0,0.2,0.1,0.0,0.3,3.4,0.9,0.8,118.4,0.0,0.0,0.0,93.1,0.7,5.9,135.4,0.0,93.1,397.6,0.064,0.8,357.0,118.4
75,pineapple grapefruit juice,118,0.3,0.077,0.0,0.022,29.0,28.8,0.5,0.3,0.0,0.054,219.8,0.0,0.042,0.047,0.0,0.07,0.7,0.1,0.1,115.0,0.0,0.001,0.046,17.5,0.1,0.8,15.0,1.0,15.0,152.5,0.025,0.2,163.4,115.0
79,orange with peel,100,0.5,0.036,0.003,0.048,24.6,0.0,2.1,7.2,0.0,0.028,130.9,0.0,0.2,0.019,0.0,0.042,0.8,0.5,0.1,112.9,0.0,0.0,0.0,111.3,0.016,1.3,22.3,0.0,35.0,311.6,0.039,0.2,259.9,112.9
82,cranberry apple juice,154,0.3,0.066,0.014,0.1,38.8,35.5,0.0,0.0,0.0,0.061,205.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,0.0,0.3,0.075,7.4,0.07,0.2,2.5,0.1,4.9,41.7,0.0,0.015,143.5,96.8
100,white grapefruit juice,96,0.2,0.083,0.091,0.007,22.7,22.5,1.2,0.2,0.0,0.018,222.3,0.0,0.015,0.029,0.0,0.005,0.5,0.5,0.1,93.9,0.0,0.5,0.0,22.2,0.035,0.5,29.6,0.032,37.1,400.1,0.019,0.1,140.9,93.9
71,white grapefruit,78,0.2,0.072,0.036,0.032,19.8,17.3,1.6,2.6,0.0,0.0,213.5,0.0,0.031,0.098,0.0,0.045,0.6,0.7,0.1,78.6,0.0,0.3,0.0,28.3,0.1,0.1,21.2,0.047,18.9,349.3,0.013,0.2,131.2,78.6
87,cranberry grape juice,137,0.2,0.053,0.092,0.08,34.3,0.0,0.5,0.2,0.0,0.079,209.7,0.0,0.094,0.09,0.0,0.056,0.3,0.1,0.027,78.4,0.0,0.0,0.0,19.6,0.051,0.04,7.4,0.4,9.8,58.8,0.0,0.055,133.2,78.4
