Item number,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
567,goose meat raw,6077,550.7,160.2,291.1,61.6,0.0,0.0,259.8,0.0,1310.4,1.2,813.4,0.3,1.4,0.094,0.049,4.0,59.1,21.2,6.4,68.8,0.0,0.0,0.0,196.6,4.4,41.0,294.8,0.3,3832.9,5045.0,0.2,28.2,1117.2
504,pork arm picnic raw,5298,343.4,113.6,147.3,67.9,0.0,0.0,513.6,0.0,1729.4,2.3,1875.9,0.1,16.1,0.0,0.04,6.8,124.0,27.9,12.1,0.0,0.064,5.8,0.0,329.4,2.0,15.6,494.1,0.3,5490.0,11336.9,0.6,59.0,1202.1
506,pork arm picnic cooked,5292,322.7,109.3,139.0,62.7,0.0,0.0,560.3,0.0,1936.7,2.2,1351.9,0.007,9.9,0.1,0.086,7.3,119.5,27.0,7.8,0.0,0.062,5.9,0.0,360.3,2.4,20.7,495.4,0.5,5404.8,8039.6,0.7,69.8,1264.074
560,duck meat raw,5123,498.8,167.6,237.0,64.4,0.0,0.0,145.7,0.0,963.7,0.8,615.0,0.6,2.5,0.2,0.048,2.7,49.9,12.1,2.4,35.5,0.088,8.9,0.025,139.5,3.0,30.4,190.2,0.2,1762.5,2650.1,0.2,17.2,850.5
502,pork backfat,3683,402.3,146.1,190.3,46.9,0.0,0.0,13.2,0.0,258.6,0.064,34.9,0.032,0.4,0.072,0.035,0.2,4.5,0.5,0.2,0.5,0.003,0.0,0.0,9.1,0.094,0.8,9.1,0.082,172.4,294.8,0.063,1.7,425.932
469,pork top loin roasts raw,3644,182.8,35.1,40.8,14.3,0.0,0.0,468.4,0.0,1404.8,1.0,1539.6,0.09,9.4,0.0,0.075,4.0,122.2,15.8,15.8,0.0,0.042,2.6,0.0,153.7,1.2,11.6,526.8,0.2,4741.2,7858.1,0.6,38.0,816.574
533,pork spareribs raw,3593,303.5,97.7,110.8,51.3,0.0,0.0,200.6,0.0,1037.6,1.1,775.0,0.0,4.1,0.0,0.055,3.3,60.5,8.1,7.4,0.0,0.084,4.8,0.0,194.6,1.0,11.8,207.5,0.1,1828.8,3138.7,0.3,32.4,710.5
536,turkey breast raw,3554,158.9,43.2,60.2,37.6,0.0,0.0,495.6,0.0,1471.6,1.3,1585.9,0.015,1.3,0.2,0.004,2.6,117.7,14.1,10.9,0.0,0.0,0.0,0.0,294.3,1.7,27.2,543.4,0.4,4211.0,6226.0,0.5,35.5,976.092
129,coconut whole coconut,3336,71.5,672.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5
568,turkey breast roasted,3266,128.0,36.3,42.3,31.1,0.0,0.0,496.1,0.0,1278.7,1.1,1092.4,0.0,1.0,0.1,0.004,2.3,110.0,11.0,8.3,0.0,0.0,0.0,0.0,362.9,0.8,24.2,466.6,0.3,3628.8,4976.6,0.5,35.1,1011.2
156,banana cream pie,3190,161.3,44.6,67.8,39.0,390.2,143.0,52.2,8.3,604.9,2.8,568.1,0.7,1.6,0.3,0.006,2.5,12.5,4.6,1.6,19.0,0.009,4.7,0.069,889.5,0.6,12.3,189.8,1.8,1091.1,1956.9,0.1,5.7,1533.5
519,pork backribs roasted,2564,188.9,68.5,81.6,31.0,0.0,0.0,202.0,0.0,737.5,0.8,481.3,1.7,0.023,4.0,0.0,0.08,2.9,67.0,11.1,3.6,0.0,0.068,2.2,0.0,403.9,0.9,8.1,149.3,0.065,1448.7,2107.2,0.3,397.1
471,pork backribs raw,2399,174.9,61.9,73.5,28.7,0.0,0.0,204.2,0.0,739.0,0.9,679.8,0.035,4.9,0.0,0.028,3.3,72.6,8.8,4.5,0.0,0.025,2.6,0.0,332.0,1.0,8.1,171.4,0.085,1649.3,2645.4,0.3,27.2,719.224
520,pork belly raw,2350,240.5,87.7,112.0,25.6,0.0,0.0,42.4,0.0,326.6,0.1,166.7,0.095,1.8,0.088,0.075,1.1,21.1,1.2,0.6,1.4,0.0,1.8,0.0,22.7,0.2,2.4,18.1,0.01,489.9,839.2,0.085,4.6,309.486
230,weetabix weetabix,2078,11.5,396.1,68.9,57.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5
548,chicken meat raw,1978,138.6,39.7,57.4,29.7,0.0,0.0,171.1,0.0,690.0,0.6,607.1,0.4,0.6,0.039,0.069,1.1,62.6,8.4,3.2,14.7,0.054,2.8,0.054,101.2,0.4,8.3,184.0,0.2,1352.4,1738.8,0.1,12.1,434.3
3,menhaden fish oil,1966,218.0,66.3,58.2,74.5,0.0,0.0,0.0,0.0,1135.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0
515,pork centre rib roasts roasted,1942,114.9,42.6,48.4,19.4,0.0,0.0,211.3,0.0,610.7,0.7,452.3,0.8,0.041,4.1,0.0,0.018,2.3,74.3,11.6,3.8,0.0,0.094,1.6,0.0,148.8,0.7,7.5,164.4,0.063,1800.9,2129.8,0.3,331.5
71,vanilla frosting,1931,75.0,13.7,22.5,36.7,313.7,291.5,0.0,0.0,0.0,0.9,69.6,0.0,0.046,0.026,0.0,1.4,1.0,0.3,0.0,0.0,0.0,7.1,0.032,13.9,0.0,0.7,4.6,0.0,83.2,157.1,0.029,0.3,403.3
